Spanish	ExampleSentence	English	ExampleTranslation	PartOfSpeech	Gender	Notes
el cumpleaños	¡Feliz <b>cumpleaños</b>! ¿Cuántos años cumples?	birthday	Happy birthday! How old are you turning?	noun	el (masculine)	Same form singular and plural: el/los cumpleaños.
el día de fiesta	El 25 de diciembre es un <b>día de fiesta</b>.	holiday	December 25th is a holiday.	noun	el (masculine)	Also: "el feriado" or "el día festivo."
divertirse (e:ie)	Nos <b>divertimos</b> mucho en la fiesta.	to have fun	We had a lot of fun at the party.	verb		Reflexive, stem-changing e→ie. "Divertido/a" = fun/entertaining.
divorciado/a	Mis padres están <b>divorciados</b> desde que yo tenía diez años.	divorced	My parents have been divorced since I was ten.	adjective		
divorciarse (de)	Se <b>divorciaron</b> después de quince años de matrimonio.	to get divorced (from)	They got divorced after fifteen years of marriage.	verb		Reflexive. "Divorciarse de" = to divorce from.
el divorcio	El <b>divorcio</b> fue muy difícil para la familia.	divorce	The divorce was very difficult for the family.	noun	el (masculine)	
los dulces	A los niños les encantan los <b>dulces</b>.	sweets; candy	Kids love candy.	noun	los (masculine plural)	"Dulce" as adj. = sweet.
la edad	¿Cuál es tu <b>edad</b>?	age	What is your age?	noun	la (feminine)	"A la edad de" = at the age of.
enamorarse (de)	Se <b>enamoró de</b> ella a primera vista.	to fall in love (with)	He fell in love with her at first sight.	verb		Reflexive. "Enamorado/a" = in love.
entregar	El mensajero <b>entregó</b> el paquete esta mañana.	to hand over; to deliver	The messenger delivered the package this morning.	verb		Spelling change: yo entregué.
enviar	Te voy a <b>enviar</b> las fotos por correo.	to send	I'll send you the photos by email.	verb		Accent on í in some forms: envío, envías, envía.
eras	Cuando <b>eras</b> niño, ¿qué querías ser?	were	When you were a child, what did you want to be?	verb		Imperfect tense of "ser" (tú form). Irregular.
el estado civil	¿Cuál es su <b>estado civil</b>?	marital status	What is your marital status?	noun	el (masculine)	Options: soltero, casado, divorciado, viudo, separado.
las etapas de la vida	La niñez es una de las <b>etapas de la vida</b>.	the stages of life	Childhood is one of the stages of life.	noun	las (feminine plural)	
la fiesta	Vamos a hacer una <b>fiesta</b> el sábado.	party	We're going to have a party on Saturday.	noun	la (feminine)	
el flan (de caramelo)	De postre quiero un <b>flan de caramelo</b>.	baked (caramel) custard	For dessert I want a caramel custard.	noun	el (masculine)	Classic Spanish and Latin American dessert.
las flores	Le regaló un ramo de <b>flores</b> por su aniversario.	flowers	He gave her a bouquet of flowers for their anniversary.	noun	las (feminine plural)	Singular: "la flor."
la galleta	¿Quieres una <b>galleta</b> con tu café?	cookie	Do you want a cookie with your coffee?	noun	la (feminine)	In Spain, also means "cracker."
el globo	Decoramos la sala con <b>globos</b> de colores.	balloon	We decorated the room with colorful balloons.	noun	el (masculine)	Also means "globe."
graduarse (de/en)	Me <b>gradué de</b> la universidad en mayo.	to graduate (from/in)	I graduated from college in May.	verb		Reflexive. Accent: me gradúo, te gradúas.
el helado	¿De qué sabor quieres el <b>helado</b>?	ice cream	What flavor ice cream do you want?	noun	el (masculine)	"Heladería" = ice cream shop.
el/la invitado/a	Llegaron más de cien <b>invitados</b> a la boda.	guest	More than a hundred guests arrived at the wedding.	noun	el/la	From the verb "invitar."
invitar	Te quiero <b>invitar</b> a mi fiesta de cumpleaños.	to invite	I want to invite you to my birthday party.	verb		Also: "invitar" can mean to treat (pay for someone).
jubilarse	Mi padre se <b>jubiló</b> a los sesenta y cinco años.	to retire (from work)	My father retired at sixty-five.	verb		Reflexive. "La jubilación" = retirement.
el juego de las sillas	Los niños jugaron al <b>juego de las sillas</b> en la fiesta.	musical chairs	The kids played musical chairs at the party.	noun	el (masculine)	Literally: "the game of chairs."
juntos/as	Pasamos mucho tiempo <b>juntos</b>.	together	We spend a lot of time together.	adjective / adverb		Agrees in gender/number when used as adjective.
la juventud	En su <b>juventud</b>, viajó por toda Europa.	youth	In his youth, he traveled all over Europe.	noun	la (feminine)	Stage of life between adolescence and adulthood.
llevarse bien/mal (con)	Me <b>llevo bien con</b> todos mis compañeros.	to get along well/badly (with)	I get along well with all my coworkers.	verb		Reflexive. "Llevarse bien/mal con" = to get along well/badly with.
la madurez	Con la <b>madurez</b> llega la sabiduría.	maturity; middle age	With maturity comes wisdom.	noun	la (feminine)	Also: "maduro/a" = mature, ripe.
el matrimonio	El <b>matrimonio</b> es un compromiso serio.	marriage	Marriage is a serious commitment.	noun	el (masculine)	Also refers to a married couple.
el/la mensajero/a	El <b>mensajero</b> llegó con un paquete.	messenger	The messenger arrived with a package.	noun	el/la	
la muerte	La <b>muerte</b> de su abuela le afectó mucho.	death	His grandmother's death affected him deeply.	noun	la (feminine)	Verb: "morir" (to die).
nacer	Mi hijo <b>nació</b> en septiembre.	to be born	My son was born in September.	verb		Irregular: yo nazco. "El nacimiento" = birth.
el nacimiento	Celebraron el <b>nacimiento</b> del bebé.	birth	They celebrated the baby's birth.	noun	el (masculine)	
la Navidad	¿Qué haces en <b>Navidad</b>?	Christmas	What do you do at Christmas?	noun	la (feminine)	"¡Feliz Navidad!" = Merry Christmas!
la niñez	Tuvo una <b>niñez</b> muy feliz.	childhood	She had a very happy childhood.	noun	la (feminine)	
odiar	<b>Odio</b> levantarme temprano los lunes.	to hate	I hate getting up early on Mondays.	verb		Regular -ar verb. Strong word — "no me gusta" is milder.
la pareja	Hacen muy buena <b>pareja</b>.	(married) couple; partner	They make a very good couple.	noun	la (feminine)	Can refer to one's partner or to a couple together.
pasarlo bien/mal	Lo <b>pasamos muy bien</b> en la playa.	to have a good/bad time	We had a great time at the beach.	verb phrase		"Lo" is invariable. "Pasarla bien" in Latin America.
el pastel (de chocolate)	Mi mamá hizo un <b>pastel de chocolate</b> para mi cumpleaños.	(chocolate) cake; pie	My mom made a chocolate cake for my birthday.	noun	el (masculine)	Also: "la torta" or "la tarta" depending on region.
el pedido	El <b>pedido</b> llegó incompleto.	order	The order arrived incomplete.	noun	el (masculine)	From the verb "pedir."
el pincho	Pedimos unos <b>pinchos</b> de tortilla en el bar.	a type of appetizer (in Spain)	We ordered some tortilla pinchos at the bar.	noun	el (masculine)	Similar to "la tapa." Common in northern Spain.
el postre	¿Qué hay de <b>postre</b>?	dessert	What's for dessert?	noun	el (masculine)	
la quinceañera	La <b>quinceañera</b> bailó el vals con su padre.	young woman celebrating her fifteenth birthday	The quinceañera danced the waltz with her father.	noun	la (feminine)	Important tradition in Latin America marking a girl's 15th birthday.
el/la recién casado/a	Los <b>recién casados</b> se fueron de luna de miel.	newlywed	The newlyweds went on their honeymoon.	noun	el/la	"La luna de miel" = honeymoon.
regalar	Le <b>regalé</b> un libro a mi padre.	to give (a gift)	I gave my father a book as a gift.	verb		"El regalo" = gift/present.
reírse (e:i)	Nos <b>reímos</b> mucho con esa película.	to laugh	We laughed a lot during that movie.	verb		Reflexive, stem-changing e→i. Accent: me río, te ríes.
relajarse	Los fines de semana me gusta <b>relajarme</b>.	to relax	On weekends I like to relax.	verb		Reflexive. Regular -ar verb.
romper (con)	Ana <b>rompió con</b> su novio la semana pasada.	to break up (with)	Ana broke up with her boyfriend last week.	verb		"Romper con" = to break up with. "Romper" alone = to break.
salir (con)	Mi hermana <b>sale con</b> alguien nuevo.	to go out (with); to date	My sister is dating someone new.	verb		Irregular: yo salgo. "Salir con" = to date.
separado/a	Están <b>separados</b> pero no divorciados.	separated	They are separated but not divorced.	adjective		
separarse (de)	Se <b>separaron</b> después de muchos problemas.	to separate (from)	They separated after many problems.	verb		Reflexive.
sólo	<b>Sólo</b> quiero descansar.	only	I just want to rest.	adverb		Modern spelling without accent: "solo." Also: "solamente."
soltero/a	Mi prima sigue <b>soltera</b>.	single	My cousin is still single.	adjective		"La despedida de soltero/a" = bachelor/bachelorette party.
sonreír (e:i)	Ella siempre <b>sonríe</b> cuando me ve.	to smile	She always smiles when she sees me.	verb		Stem-changing e→i. Conjugated like "reír": sonrío, sonríes.
sorprender	La fiesta me <b>sorprendió</b> mucho.	to surprise	The party really surprised me.	verb		Regular -er verb. "La sorpresa" = surprise.
la sorpresa	Le preparamos una <b>sorpresa</b> para su cumpleaños.	surprise	We prepared a surprise for his birthday.	noun	la (feminine)	"Fiesta sorpresa" = surprise party.
tener una cita	<b>Tengo una cita</b> con el dentista mañana.	to have a date; to have an appointment	I have an appointment with the dentist tomorrow.	verb phrase		"La cita" = date/appointment. Context determines meaning.
tropezarse con	Me <b>tropecé con</b> un viejo amigo en el centro.	to run into	I ran into an old friend downtown.	verb		Reflexive. Spelling change: tropecé. Also means to trip/stumble physically.
la vejez	En la <b>vejez</b> es importante mantenerse activo.	old age	In old age it's important to stay active.	noun	la (feminine)	"Viejo/a" = old.
viudo/a	Mi abuela quedó <b>viuda</b> hace dos años.	widower/widow	My grandmother was widowed two years ago.	noun / adjective		"Enviudar" = to become widowed.
