Spanish	ExampleSentence	English	ExampleTranslation	PartOfSpeech	Gender	Notes
el champiñón	La pizza lleva <b>champiñones</b> y queso.	mushroom	The pizza has mushrooms and cheese.	noun	el (masculine)	Plural: los champiñones.
la chuleta (de cerdo)	Mi abuela hace las mejores <b>chuletas de cerdo</b>.	(pork) chop	My grandma makes the best pork chops.	noun	la (feminine)	"Cerdo" = pork/pig.
la comida	La <b>comida</b> mexicana es muy variada.	food; meal	Mexican food is very varied.	noun	la (feminine)	Can mean food in general or a specific meal.
como	Quiero un postre <b>como</b> el flan.	like; as	I want a dessert like the flan.	conjunction / preposition		No accent mark. "¿Cómo?" (with accent) = how?
la croqueta	Las <b>croquetas</b> de jamón son típicas de España.	croquette	Ham croquettes are typical in Spain.	noun	la (feminine)	
delicioso/a	Esta sopa está <b>deliciosa</b>.	delicious	This soup is delicious.	adjective		Changes for gender: delicioso/deliciosa. Synonyms: "rico/a," "sabroso/a."
el desayuno	El <b>desayuno</b> se sirve de siete a diez.	breakfast	Breakfast is served from seven to ten.	noun	el (masculine)	Verb: "desayunar" (to have breakfast).
el/la dueño/a	El <b>dueño</b> del restaurante es muy amable.	owner	The restaurant owner is very friendly.	noun	el/la	Also means "owner" of a pet, house, business, etc.
la ensalada	Quiero una <b>ensalada</b> mixta, por favor.	salad	I'd like a mixed salad, please.	noun	la (feminine)	
los entremeses	Empezamos con unos <b>entremeses</b> variados.	hors d'oeuvres; appetizers	We started with assorted appetizers.	noun	los (masculine plural)	Also: "los aperitivos."
escoger	Es difícil <b>escoger</b> un plato del menú.	to choose	It's hard to choose a dish from the menu.	verb		Spelling change: yo escojo. Synonym: "elegir."
los espárragos	Los <b>espárragos</b> a la plancha están muy buenos.	asparagus	The grilled asparagus is very good.	noun	los (masculine plural)	
los frijoles	Los <b>frijoles</b> negros son populares en Cuba.	beans	Black beans are popular in Cuba.	noun	los (masculine plural)	In Spain: "las judías" or "las alubias."
las frutas	Hay que comer más <b>frutas</b> y verduras.	fruit	You should eat more fruits and vegetables.	noun	las (feminine plural)	Singular: "la fruta."
el gazpacho	En verano, el <b>gazpacho</b> es muy refrescante.	cold tomato soup	In summer, gazpacho is very refreshing.	noun	el (masculine)	Traditional cold soup from Andalucía, Spain.
la hamburguesa	Pedí una <b>hamburguesa</b> con papas fritas.	hamburger	I ordered a hamburger with fries.	noun	la (feminine)	
el huevo	Me gustan los <b>huevos</b> revueltos para desayunar.	egg	I like scrambled eggs for breakfast.	noun	el (masculine)	"Huevos fritos" = fried eggs. "Huevos revueltos" = scrambled eggs.
el jamón	El <b>jamón</b> serrano es una delicia española.	ham	Serrano ham is a Spanish delicacy.	noun	el (masculine)	"Jamón serrano" and "jamón ibérico" are famous types.
el jugo (de fruta)	¿Quieres un <b>jugo de naranja</b>?	(fruit) juice	Do you want an orange juice?	noun	el (masculine)	In Spain: "el zumo."
la langosta	La <b>langosta</b> es el plato más caro del menú.	lobster	Lobster is the most expensive dish on the menu.	noun	la (feminine)	
la leche	¿Tomas el café con <b>leche</b>?	milk	Do you take your coffee with milk?	noun	la (feminine)	
la lechuga	La ensalada lleva <b>lechuga</b>, tomate y cebolla.	lettuce	The salad has lettuce, tomato, and onion.	noun	la (feminine)	
el limón	Ponle un poco de <b>limón</b> al pescado.	lemon	Put a little lemon on the fish.	noun	el (masculine)	Also: "la lima" = lime.
el maíz	Las tortillas de <b>maíz</b> son típicas de México.	corn	Corn tortillas are typical in Mexico.	noun	el (masculine)	Also: "el elote" = corn on the cob (Mexico).
la maniobra de Heimlich	Es importante saber hacer la <b>maniobra de Heimlich</b>.	Heimlich maneuver	It's important to know how to do the Heimlich maneuver.	noun	la (feminine)	Used to help someone who is choking (ahogándose).
la mantequilla	¿Le pones <b>mantequilla</b> al pan?	butter	Do you put butter on your bread?	noun	la (feminine)	
la manzana	Una <b>manzana</b> al día es buena para la salud.	apple	An apple a day is good for your health.	noun	la (feminine)	
la margarina	Uso <b>margarina</b> en vez de mantequilla.	margarine	I use margarine instead of butter.	noun	la (feminine)	
los mariscos	Este restaurante es famoso por sus <b>mariscos</b>.	shellfish	This restaurant is famous for its shellfish.	noun	los (masculine plural)	General term for shellfish and seafood.
más de (+ number)	Hay <b>más de</b> cien restaurantes en esta calle.	more than	There are more than a hundred restaurants on this street.	expression		Used before numbers. Before nouns/adjectives, use "más... que."
más… que	El bistec es <b>más</b> caro <b>que</b> el pollo.	more… than	The steak is more expensive than the chicken.	expression		Comparison structure. Irregulars: mejor, peor, mayor, menor.
la mayonesa	No me gusta la <b>mayonesa</b> en el sándwich.	mayonnaise	I don't like mayonnaise on my sandwich.	noun	la (feminine)	
el/la mayor	Mi hermana es la <b>mayor</b> de la familia.	the oldest	My sister is the oldest in the family.	adjective		Superlative of "grande" (age). Also means "older."
el/la mejor	Este restaurante es el <b>mejor</b> de la ciudad.	the best	This restaurant is the best in the city.	adjective		Superlative of "bueno."
mejor	La paella está <b>mejor</b> que la sopa.	better	The paella is better than the soup.	adjective / adverb		Comparative of "bueno/bien." Irregular — not "más bueno."
el melocotón	Compré unos <b>melocotones</b> muy maduros.	peach	I bought some very ripe peaches.	noun	el (masculine)	In Latin America: "el durazno."
el/la menor	Mi primo es el <b>menor</b> de sus hermanos.	the youngest	My cousin is the youngest of his siblings.	adjective		Superlative of "pequeño" (age). Also means "younger."
menos de (+ number)	Quedan <b>menos de</b> diez minutos.	fewer than	There are fewer than ten minutes left.	expression		Used before numbers. Before nouns/adjectives, use "menos... que."
menos… que	El almuerzo es <b>menos</b> pesado <b>que</b> la cena.	less… than	Lunch is less heavy than dinner.	expression		Comparison structure. Irregulars: mejor, peor, mayor, menor.
el menú	¿Nos puede traer el <b>menú</b>, por favor?	menu	Can you bring us the menu, please?	noun	el (masculine)	Also: "la carta" in some regions.
merendar (e:ie)	Los niños <b>meriendan</b> fruta y galletas.	to snack	The kids snack on fruit and cookies.	verb		Stem-changing e→ie. "La merienda" = afternoon snack.
morir (o:ue)	Las plantas se <b>mueren</b> sin agua.	to die	Plants die without water.	verb		Stem-changing o→ue. Past participle: "muerto" (irregular).
la naranja	¿Quieres una <b>naranja</b> o una manzana?	orange	Do you want an orange or an apple?	noun	la (feminine)	Also the color: "anaranjado/a" or "naranja."
el pan (tostado)	Desayuno <b>pan tostado</b> con mantequilla.	(toasted) bread	I have toast with butter for breakfast.	noun	el (masculine)	"El pan" = bread. "El pan tostado" / "la tostada" = toast.
las papas/patatas (fritas)	¿Quieres <b>papas fritas</b> con tu hamburguesa?	(fried) potatoes; French fries	Do you want fries with your hamburger?	noun	las (feminine plural)	"Papas" = Latin America. "Patatas" = Spain.
el pavo	En Acción de Gracias comemos <b>pavo</b>.	turkey	On Thanksgiving we eat turkey.	noun	el (masculine)	
pedir (e:i)	Voy a <b>pedir</b> la sopa del día.	to order (food)	I'm going to order the soup of the day.	verb		Stem-changing e→i. Also means "to ask for."
el/la peor	Es la <b>peor</b> comida que he probado.	the worst	It's the worst food I've tried.	adjective		Superlative of "malo."
peor	Esta sopa está <b>peor</b> que ayer.	worse	This soup is worse than yesterday.	adjective / adverb		Comparative of "malo/mal." Irregular — not "más malo."
la pera	Las <b>peras</b> están muy dulces hoy.	pear	The pears are very sweet today.	noun	la (feminine)	
el pescado	El <b>pescado</b> a la plancha es muy saludable.	fish (as food)	Grilled fish is very healthy.	noun	el (masculine)	"El pescado" = fish as food. "El pez" = live fish.
la pimienta	¿Le pongo <b>pimienta</b> a la sopa?	black pepper	Should I add pepper to the soup?	noun	la (feminine)	Not to be confused with "el pimiento" (bell pepper).
el plato (principal)	El <b>plato principal</b> es arroz con mariscos.	(main) dish	The main dish is rice with seafood.	noun	el (masculine)	"El plato" can also mean the physical plate.
el pollo (asado)	El <b>pollo asado</b> de mi mamá es el mejor.	(roast) chicken	My mom's roast chicken is the best.	noun	el (masculine)	
probar (o:ue)	¿Quieres <b>probar</b> mi postre?	to taste; to try	Do you want to try my dessert?	verb		Stem-changing o→ue. Reflexive "probarse" = to try on (clothing).
el queso	Me encanta el <b>queso</b> manchego.	cheese	I love Manchego cheese.	noun	el (masculine)	
recomendar (e:ie)	Te <b>recomiendo</b> el plato del día.	to recommend	I recommend the dish of the day.	verb		Stem-changing e→ie.
el refresco	¿Quieres un <b>refresco</b> o un jugo?	soft drink; soda	Do you want a soda or a juice?	noun	el (masculine)	Also: "la gaseosa" in some countries.
rico/a	¡Qué <b>rica</b> está esta paella!	tasty; delicious	This paella is so tasty!	adjective		Also means "rich" (wealthy). Context determines meaning.
saber (a)	Esta salsa <b>sabe a</b> limón.	to taste (like)	This sauce tastes like lemon.	verb		Irregular: yo sé. "Saber a" = to taste like. "Saber" alone = to know.
sabroso/a	La cena estuvo muy <b>sabrosa</b>.	tasty; delicious	Dinner was very tasty.	adjective		Synonyms: "rico/a," "delicioso/a."
la sal	Le falta <b>sal</b> a esta sopa.	salt	This soup needs salt.	noun	la (feminine)	"Salar" = to salt. "Salado/a" = salty.
la salchicha	Desayuné huevos con <b>salchichas</b>.	sausage	I had eggs with sausages for breakfast.	noun	la (feminine)	
el salmón	El <b>salmón</b> a la plancha es mi plato favorito.	salmon	Grilled salmon is my favorite dish.	noun	el (masculine)	
el sándwich	Me hice un <b>sándwich</b> de jamón y queso.	sandwich	I made myself a ham and cheese sandwich.	noun	el (masculine)	Also: "el bocadillo" (Spain, on a baguette).
la sección de (no) fumar	Queremos una mesa en la <b>sección de no fumar</b>.	(non) smoking section	We want a table in the non-smoking section.	noun	la (feminine)	
servir (e:i)	¿En qué puedo <b>servirle</b>?	to serve	How may I help you?	verb		Stem-changing e→i. Also: "servir para" = to be useful for.
la sopa	La <b>sopa</b> del día es de tomate.	soup	The soup of the day is tomato.	noun	la (feminine)	
tan… como	El flan es <b>tan</b> dulce <b>como</b> el pastel.	as… as	The flan is as sweet as the cake.	expression		Used with adjectives and adverbs for equal comparisons.
tanto… como	No como <b>tanto</b> arroz <b>como</b> tú.	as much… as	I don't eat as much rice as you.	expression		Used with uncountable nouns. Invariable "tanto" before noun.
tantos/as… como	Hay <b>tantas</b> opciones <b>como</b> en el otro restaurante.	as many… as	There are as many options as in the other restaurant.	expression		Used with countable nouns. Agrees in gender/number: tantos/tantas.
el té (helado)	Prefiero un <b>té helado</b> cuando hace calor.	(iced) tea	I prefer iced tea when it's hot.	noun	el (masculine)	"El té verde" = green tea. "El té negro" = black tea.
tirar	No <b>tires</b> la comida; alguien la puede comer.	to throw	Don't throw away the food; someone can eat it.	verb		Also: "tirar a la basura" = to throw in the trash.
el tomate	Necesito dos <b>tomates</b> para la ensalada.	tomato	I need two tomatoes for the salad.	noun	el (masculine)	
la tortilla	En España, la <b>tortilla</b> se hace con huevos y patatas.	omelet (in Spain)	In Spain, tortilla is made with eggs and potatoes.	noun	la (feminine)	In Spain = potato omelet. In Mexico = thin flatbread (corn or flour).
la uva	Las <b>uvas</b> están muy dulces este año.	grape	The grapes are very sweet this year.	noun	la (feminine)	In Spain, eating 12 grapes at midnight on New Year's Eve is tradition.
las verduras	Hay que comer más <b>verduras</b>.	vegetables	You should eat more vegetables.	noun	las (feminine plural)	Synonym: "las legumbres" (in some regions).
el vinagre	La ensalada lleva aceite y <b>vinagre</b>.	vinegar	The salad has oil and vinegar.	noun	el (masculine)	
el vino (blanco/tinto)	¿Prefiere <b>vino tinto</b> o <b>blanco</b>?	(white/red) wine	Do you prefer red or white wine?	noun	el (masculine)	"Tinto" = red (for wine only). "Rosado" = rosé.
la vitrina	Los postres están en la <b>vitrina</b>.	display case/window	The desserts are in the display case.	noun	la (feminine)	Also: "el escaparate" (shop window, Spain).
el yogur	Desayuno <b>yogur</b> con frutas.	yogurt	I have yogurt with fruit for breakfast.	noun	el (masculine)	
la zanahoria	El conejo come <b>zanahorias</b>.	carrot	The rabbit eats carrots.	noun	la (feminine)	
