Spanish	ExampleSentence	English	ExampleTranslation	PartOfSpeech	Gender	Notes
la clínica	Fui a la <b>clínica</b> para una revisión médica.	clinic	I went to the clinic for a medical checkup.	noun	la (feminine)	Smaller than a hospital.
cojear	Después de la caída, empezó a <b>cojear</b>.	to limp	After the fall, he started to limp.	verb		Regular -ar verb.
la cojera	La <b>cojera</b> le duró varias semanas.	limp	The limp lasted him several weeks.	noun	la (feminine)	From the verb "cojear."
con frecuencia	Visito a mis abuelos <b>con frecuencia</b>.	frequently	I visit my grandparents frequently.	expression		Synonym: "frecuentemente," "a menudo."
congestionado/a	Estoy muy <b>congestionado</b>; no puedo respirar bien.	congested; stuffed-up	I'm very congested; I can't breathe well.	adjective		"La congestión" = congestion.
el consultorio	El <b>consultorio</b> del doctor está en el segundo piso.	doctor's office	The doctor's office is on the second floor.	noun	el (masculine)	
el corazón	El <b>corazón</b> late más rápido cuando haces ejercicio.	heart	The heart beats faster when you exercise.	noun	el (masculine)	Also used figuratively: "de todo corazón" = with all my heart.
el cuello	Me duele el <b>cuello</b> de dormir mal.	neck	My neck hurts from sleeping badly.	noun	el (masculine)	Also means "collar" (of a shirt).
el cuerpo	Es importante cuidar el <b>cuerpo</b>.	body	It's important to take care of your body.	noun	el (masculine)	
dañar	El agua <b>dañó</b> mi teléfono.	to damage; to break down	The water damaged my phone.	verb		Regular -ar verb. "El daño" = damage.
darse con	Me <b>di con</b> la puerta sin querer.	to bump into; to run into	I bumped into the door accidentally.	verb		Reflexive. Irregular: yo me doy.
de niño/a	<b>De niño</b>, me gustaba jugar en el parque.	as a child	As a child, I liked playing in the park.	expression		Used with imperfect tense to talk about childhood habits.
de vez en cuando	<b>De vez en cuando</b> como comida rápida.	from time to time	From time to time I eat fast food.	expression		
el dedo	Me corté el <b>dedo</b> con un cuchillo.	finger	I cut my finger with a knife.	noun	el (masculine)	"El dedo del pie" = toe.
el dedo del pie	Me golpeé el <b>dedo del pie</b> con la mesa.	toe	I stubbed my toe on the table.	noun	el (masculine)	Literally: "finger of the foot."
el/la dentista	Voy al <b>dentista</b> dos veces al año.	dentist	I go to the dentist twice a year.	noun	el/la	
despacio	Habla más <b>despacio</b>, por favor.	slowly	Speak more slowly, please.	adverb		Opposite: "rápido."
distraído/a	Estaba <b>distraído</b> y no vi el escalón.	distracted	I was distracted and didn't see the step.	adjective		From the verb "distraer" (to distract).
el/la doctor(a)	La <b>doctora</b> me dijo que descansara.	doctor	The doctor told me to rest.	noun	el/la	Also: "el/la médico/a."
doler (o:ue)	Me <b>duele</b> la espalda.	to hurt	My back hurts.	verb		Works like "gustar." Stem-changing o→ue. "Me duelen las piernas" = my legs hurt.
el dolor (de cabeza)	Tengo un <b>dolor de cabeza</b> terrible.	(head)ache; pain	I have a terrible headache.	noun	el (masculine)	"Dolor de estómago" = stomachache. "Dolor de muelas" = toothache.
embarazada	Mi hermana está <b>embarazada</b> de seis meses.	pregnant	My sister is six months pregnant.	adjective		False friend — does NOT mean embarrassed. "Avergonzado/a" = embarrassed.
enfermarse	Me <b>enfermé</b> por no abrigarme bien.	to get sick	I got sick from not bundling up well.	verb		Reflexive. "La enfermedad" = illness.
el/la enfermero/a	La <b>enfermera</b> me tomó la temperatura.	nurse	The nurse took my temperature.	noun	el/la	
estar enfermo/a	No fui a clase porque <b>estaba enfermo</b>.	to be sick	I didn't go to class because I was sick.	expression		Uses "estar" (temporary state), not "ser."
el estómago	Me duele el <b>estómago</b>; comí demasiado.	stomach	My stomach hurts; I ate too much.	noun	el (masculine)	
estornudar	No paro de <b>estornudar</b>; creo que tengo alergia.	to sneeze	I can't stop sneezing; I think I have allergies.	verb		Regular -ar verb. "El estornudo" = sneeze.
el examen médico	Me hice un <b>examen médico</b> completo.	physical exam	I got a complete physical exam.	noun	el (masculine)	Also: "el chequeo médico."
la farmacia	Compré las medicinas en la <b>farmacia</b>.	pharmacy	I bought the medicine at the pharmacy.	noun	la (feminine)	"El/la farmacéutico/a" = pharmacist.
la garganta	Me duele la <b>garganta</b> cuando trago.	throat	My throat hurts when I swallow.	noun	la (feminine)	"Dolor de garganta" = sore throat.
grave	Su condición es <b>grave</b>; está en el hospital.	grave; serious	His condition is serious; he's in the hospital.	adjective		"Gravemente" = seriously.
la gripe	Tengo <b>gripe</b>; me duele todo el cuerpo.	flu	I have the flu; my whole body aches.	noun	la (feminine)	Also: "la influenza" (formal).
el hospital	Lo llevaron al <b>hospital</b> en ambulancia.	hospital	They took him to the hospital in an ambulance.	noun	el (masculine)	
el hueso	Se rompió un <b>hueso</b> del pie.	bone	He broke a bone in his foot.	noun	el (masculine)	
la infección	Tiene una <b>infección</b> en el oído.	infection	She has an ear infection.	noun	la (feminine)	
lastimarse (el pie)	Me <b>lastimé</b> el pie jugando fútbol.	to injure (one's foot)	I injured my foot playing soccer.	verb		Reflexive. Uses definite article: "el pie," not "mi pie."
mareado/a	Me siento <b>mareado</b> después de girar tanto.	dizzy; nauseated	I feel dizzy after spinning so much.	adjective		"Mareo" = dizziness. "Marearse" = to get dizzy/nauseated.
el medicamento	Tome este <b>medicamento</b> cada ocho horas.	medication	Take this medication every eight hours.	noun	el (masculine)	More specific than "la medicina."
la medicina	Estudia <b>medicina</b> en la universidad.	medicine	She studies medicine at the university.	noun	la (feminine)	Can mean the field of medicine or a specific medicine.
médico/a	Necesito una consulta <b>médica</b>.	medical	I need a medical consultation.	adjective		As a noun: "el/la médico/a" = doctor.
menos	Hoy me siento <b>menos</b> cansado que ayer.	less	Today I feel less tired than yesterday.	adverb		"Menos... que" = less... than.
menos mal	<b>Menos mal</b> que no te pasó nada.	it's a good thing	It's a good thing nothing happened to you.	expression		Expresses relief.
mientras	Leo <b>mientras</b> espero al doctor.	while	I read while I wait for the doctor.	conjunction		"Mientras tanto" = meanwhile.
muchas veces	He ido al doctor <b>muchas veces</b> este año.	a lot; many times	I've been to the doctor many times this year.	expression		
la nariz	Tengo la <b>nariz</b> congestionada.	nose	My nose is congested.	noun	la (feminine)	
no hace falta	<b>No hace falta</b> que vengas; ya estoy mejor.	there's no need	There's no need for you to come; I'm already better.	expression		"No hace falta" + infinitive or "que" + subjunctive.
el oído	Me duele el <b>oído</b> izquierdo.	(sense of) hearing; inner ear	My left ear hurts.	noun	el (masculine)	"El oído" = inner ear/hearing. "La oreja" = outer ear.
el ojo	Tiene los <b>ojos</b> verdes.	eye	She has green eyes.	noun	el (masculine)	"¡Ojo!" = Watch out! / Be careful!
olvidar	<b>Olvidé</b> tomar mi medicina esta mañana.	to forget	I forgot to take my medicine this morning.	verb		Also reflexive: "olvidarse de." "Se me olvidó" = I forgot (accidentally).
la operación	La <b>operación</b> salió bien.	operation	The operation went well.	noun	la (feminine)	Also: "la cirugía" = surgery.
la oreja	Me duele la <b>oreja</b> por los aretes nuevos.	(outer) ear	My ear hurts from the new earrings.	noun	la (feminine)	"La oreja" = outer ear. "El oído" = inner ear.
el/la paciente	El <b>paciente</b> está esperando en el consultorio.	patient	The patient is waiting in the office.	noun	el/la	Also an adjective: "paciente" = patient (calm).
la pastilla	Tómate esta <b>pastilla</b> con agua.	pill; tablet	Take this pill with water.	noun	la (feminine)	Synonym: "la píldora," "la tableta."
el pie	Me duele el <b>pie</b> derecho.	foot	My right foot hurts.	noun	el (masculine)	Plural: los pies. "A pie" = on foot.
la pierna	Se rompió la <b>pierna</b> esquiando.	leg	She broke her leg skiing.	noun	la (feminine)	
pobrecito/a	<b>Pobrecito</b>, está enfermo otra vez.	poor thing	Poor thing, he's sick again.	adjective		Diminutive of "pobre" (poor). Expresses sympathy.
poco	Dormí muy <b>poco</b> anoche.	little	I slept very little last night.	adverb / adjective		"Un poco" = a little. "Pocos/pocas" = few.
poner una inyección	La enfermera me <b>puso una inyección</b>.	to give an injection	The nurse gave me an injection.	verb phrase		"Poner" is irregular: yo pongo.
por lo menos	Deberías dormir <b>por lo menos</b> ocho horas.	at least	You should sleep at least eight hours.	expression		Synonym: "al menos."
prohibir	El doctor me <b>prohibió</b> comer dulces.	to prohibit	The doctor prohibited me from eating sweets.	verb		Accent in present: prohíbo, prohíbes, prohíbe.
pronto	Espero que te mejores <b>pronto</b>.	soon	I hope you get better soon.	adverb		"Tan pronto como" = as soon as.
la radiografía	Le tomaron una <b>radiografía</b> del brazo.	X-ray	They took an X-ray of his arm.	noun	la (feminine)	
rápido	Ven <b>rápido</b>; es una emergencia.	quickly	Come quickly; it's an emergency.	adverb		As adj.: "rápido/a" = fast. Opposite: "lento/despacio."
la receta	El doctor me dio una <b>receta</b> para el antibiótico.	prescription	The doctor gave me a prescription for the antibiotic.	noun	la (feminine)	Also means "recipe" (for cooking).
recetar	El médico me <b>recetó</b> unas pastillas.	to prescribe	The doctor prescribed me some pills.	verb		Regular -ar verb.
el resfriado	Tengo un <b>resfriado</b> fuerte.	cold (illness)	I have a bad cold.	noun	el (masculine)	"Estar resfriado/a" = to have a cold. Verb: "resfriarse."
la rodilla	Me caí y me lastimé la <b>rodilla</b>.	knee	I fell and hurt my knee.	noun	la (feminine)	
romper	El niño <b>rompió</b> el vaso.	to break	The child broke the glass.	verb		Past participle: "roto" (irregular).
romperse (la pierna)	Se <b>rompió la pierna</b> esquiando.	to break (one's leg)	He broke his leg skiing.	verb		Reflexive. Uses definite article: "la pierna," not "su pierna."
roto/a	El espejo está <b>roto</b>.	broken	The mirror is broken.	adjective		Irregular past participle of "romper."
sacar(se) un diente	El dentista me <b>sacó un diente</b>.	to have a tooth removed	The dentist pulled my tooth.	verb phrase		"Sacar" = to remove/pull out.
la sala de emergencia(s)	Lo llevaron a la <b>sala de emergencias</b>.	emergency room	They took him to the emergency room.	noun	la (feminine)	Also: "urgencias" (Spain).
la salud	La <b>salud</b> es lo más importante.	health	Health is the most important thing.	noun	la (feminine)	"¡Salud!" = Bless you! (after a sneeze) or Cheers! (toast).
saludable	Comer frutas y verduras es muy <b>saludable</b>.	healthy	Eating fruits and vegetables is very healthy.	adjective		For food/lifestyle. "Sano/a" = healthy (for people).
sano/a	Mi abuelo tiene 90 años y está <b>sano</b>.	healthy	My grandfather is 90 and is healthy.	adjective		Used for people. "Saludable" for food/habits.
ser alérgico/a (a)	<b>Soy alérgico al</b> polen.	to be allergic (to)	I'm allergic to pollen.	expression		Uses "ser" (permanent trait). "La alergia" = allergy.
el síntoma	La fiebre es un <b>síntoma</b> de la gripe.	symptom	Fever is a symptom of the flu.	noun	el (masculine)	
sufrir una enfermedad	Mi tío <b>sufre una enfermedad</b> del corazón.	to suffer an illness	My uncle suffers from a heart disease.	verb phrase		"Sufrir de" = to suffer from.
tener dolor (m.)	<b>Tengo dolor</b> en la espalda.	to have pain	I have pain in my back.	verb phrase		"Tener dolor de" + body part.
tener fiebre (f.)	El niño <b>tiene fiebre</b>; hay que llevarlo al doctor.	to have a fever	The child has a fever; we need to take him to the doctor.	verb phrase		
el tobillo	Me torcí el <b>tobillo</b> corriendo.	ankle	I sprained my ankle running.	noun	el (masculine)	
todos los días	Hago ejercicio <b>todos los días</b>.	every day	I exercise every day.	expression		"Cada día" is also used.
tomar la temperatura	La enfermera le <b>tomó la temperatura</b>.	to take someone's temperature	The nurse took his temperature.	verb phrase		
torcerse (o:ue) (el tobillo)	Me <b>torcí el tobillo</b> jugando básquetbol.	to sprain (one's ankle)	I sprained my ankle playing basketball.	verb		Reflexive, stem-changing o→ue. Uses definite article: "el tobillo."
la tos	Tiene una <b>tos</b> que no se le quita.	cough	He has a cough that won't go away.	noun	la (feminine)	Invariable: la/las tos.
toser	No puedo dejar de <b>toser</b>.	to cough	I can't stop coughing.	verb		Regular -er verb.
